Name,Address,Description,Website,Phone
ちゃこーる,東京都台東区浅草4-14-6,王道の焼鳥、鶉、鴨、仔バトなど季節の野菜焼も色々とあります。 エゾ鹿、ひつじ串焼。予約にて鴨鍋もご用意できます。　 酔いの宵メニューはエゾ鹿、うずら半身焼いずれかを予定してます。 沢山のご来店をお待ちしております!,https://www.instagram.com/923cyakoru/,03-3874-0075
焼酎処 乙,東京都台東区浅草4-18-9,昔ながらの居酒屋料理と季節の創作料理、10月から3月迄はおでん、4月から9月いっぱい迄は牛すじ煮込みをメインに提供しています。 酔いの宵メニューは浅草の老舗松喜さんの和牛モモステーキと産地の違う生牡蠣の食べ比べセットからお選び下さいね！　 沢山のご来店お待ちしておりますね～！,https://www.instagram.com/2005otsu/,090-1994-7978
Dining&Bar 山,東京都台東区浅草4-13-2  エム・エフ浅草館1階,せんトラセット＞タコス豚コンフィ 飲み物：ハイボール／生ビール／グラスワイン赤 or 白 浅草観音裏で営業しているお店です。 「タコス(豚コンフィ)(カルニタス)」をはじめ『やけにうまいポテトフライ』や「ナゲット(自家製ソースマスタード&BBQ)」などカジュアルに飲めるお店です。　1杯からでもお気軽にお立ち寄りください。,https://www.instagram.com/dining_bar_sun/,03-6802-3839
愛媛料理  笑ひめ,東京都台東区浅草4-8-2,愛媛県八幡浜出身の女将、みかりんが営む、 愛媛の料理とお酒が楽しめるお店です。 お陰様で16周年を迎え、定休日を変更し、ランチを始めました。 看板犬もち(もっちゃん)と、ご来店お待ちしてます！！ 2日（月）3日（火）16日（月）17日（火）18日(水)は、酔いの宵せんトラセットのみの営業で、追加注文出来ません。 悪しからず、ご了承下さい。 酔いの宵期間中は、特別メニューになり通常メニューはできかねますので、どうぞよろしくお願い致します。,,03-3871-3482
観音裏 酒処 雄,東京都台東区浅草4-4-1,地元の常連さんで賑わう観音裏の隠れ家居酒屋。 柔らかくてジューシーな「特製 観音裏チャーシュー」はリピート率No.1の大人気メニュー！ この機会にぜひ一度ご賞味ください！,https://www.instagram.com/sakedokoro_yu/,
串焼き居酒屋 福家,東京都台東区浅草4-21-8,千束通り商店街に佇む和風居酒屋。 備長炭炭火で焼いた絶品もつ焼き、焼き鳥は絶品です！名物【極上レバの陶板焼き】、お刺身なども美味。生ビール、焼酎、日本酒、ワインなど全60種以上のドリンクメニュも一推しです✨,https://www.instagram.com/izakaya.fukuya/,03-6458-1665
たこ焼き居酒屋  taco44.,東京都台東区浅草2-26-5  SDSビル101,亡きお父さんの味を広める為　宇宙一のたこ焼き屋さんを目指して浅草へ！　東京では  なかなか味わうことができへん  カリットロッの本場の大阪のたこ焼きをご賞味ください♪ 酔いの宵恒例！皆様お待ちかね！ 酔いの宵でしか提供しない幻のメニュー！ 大阪名物かすうどんのお出汁につけていただく  だしたこ焼き（だしが無くなり次第終了）or ちょいとおつまみ　ちょいとたこ焼きのハーフセットの2種類をご用意しております！ 金曜日　15:00-21:00 土曜日・日曜日　12:00-21:00 と冊子にも印刷しておりますが、酔いの宵の為期間中営業日を増やし 水木金　15:00-21:00 土日祝　12:00-21:00 で営業いたします。,https://taco44.asakusa64.tokyo,03-6802-7344
肉酒場ちりん,東京都台東区浅草4-28-12  ラコッティ浅草1階,お肉料理を中心に色々な料理とお酒が楽しめる酒場です！ 扱うお肉も牛、豚、鶏、羊などいろんな種類のお肉料理を提供しているのでどなたでもお気軽に楽しめますよ！ 酔いの宵せんトラセットでは当店自慢の【自家製ローストビーフ】と選べるドリンクとなっております！ 初めましての方も、何度も来ていただいている方も是非一緒に楽しみましょう！,,03-6312-1327
林檎や,東京都台東区浅草3ｰ27ｰ11  1F,自家製果実酒が美味しい洋食居酒屋です。 色々なジャンルのお料理が楽しめます。 せんトラセットはオードブル3種盛り+お好きなドリンクでお待ちしております。,https://x.com/ringoya2016,03-6802-4377
クラフトビアハウス438,東京都台東区浅草4-15-6  早川ビル1階,クラフトビアハウス438は、浅草・観音裏にあるクラフトビール専門店。　国内外から厳選したクラフトビールを常時約40種類ラインナップし、季節ごとに変わる多彩なビールをお楽しみいただけます。　料理はビールとの相性を追求したオリジナルメニューを中心に浅草らしい“粋”と“温もり”を大切にご提供。　地元の方も観光の方も、思わず「ただいま」と言いたくなるような空間を目指しています。 今回は酔いの宵オリジナルビールをご用意致しました!!,https://tabelog.com/tokyo/A1311/A131102/13296911/,03-6826-2438
東京力車,東京都台東区浅草1-5-1  菊季ビル（本店）    ※観音裏周辺を回っています。見つけて頂きお声がけください。,【株式会社ライズアップ（東京力車）について】 私たち東京力車は、おもてなしのプロフェッショナルとして、最高の1日を演出いたします。　歴史、グルメ、映え、たくさんの魅力がある浅草。「等身大の浅草」を知っている俥夫が、お一人お一人に合わせた観光プランをご提案させていただきます。「観光業の顔になる」を掲げる日本で一番オモシロイ人力車の会社です。　浅草の観光は私たちにお任せください。 ※せんトラセットの内容は次の「酔いの宵参加店」までの人力車となります。ドリンクはございませんのでご了承ください。 ※ご利用時のスタンプラリーのスタンプは対応いたします。 ※観音裏周辺を回っています。見つけて頂きお声がけください。 ※本店では対応しておりませんのでご注意ください。,https://tokyo-rickshaw.tokyo,03-5830-8845
